query,correct_answer,correct_sources
интернет,"Слишком широкий запрос. Возможно вы имели в виду:
Как раздать интернет с телефона
Не работает мобильный интернет
Не работает домашний интернет
","https://support.mts.ru/mts_mobilnyy_internet/razdacha-interneta/kak-razdat-internet-s-telefona
https://support.mts.ru/mts_mobilnyy_internet/reshenie-problem-s-internetom/chto-delat-esli-ne-rabotaet-mobilnii-internet
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/kak-ustranit-nepoladki-v-rabote-domashnego-interneta/chto-delat-esli-ne-rabotaet-domashnii-internet"
Раздача интернета,"Для раздачи интернета включите режим модема в настройках телефона.
Как включить режим модема на Android:
1. Зайдите в Настройки
2. В строке поиска введите запрос «модем»
3. Выберите из результатов поиска Режим модема или Мобильная точка доступа и модем
4. Нажмите на кнопку переключения в пункте, который может называться «Мобильная точка доступа», «Личная точка доступа» или «Точка доступа Wi-Fi» (Названия разделов в разных моделях могут отличаться)
В отдельном пункте вы можете задать пароль для защиты вашего соединения. Тогда подключиться к вашему мобильному интернету, смогут только те, кто знает пароль

Как включить режим модема на iOS:
1. Зайдите в Настройки > Режим модема
2. Нажмите кнопку переключения в пункте Разрешать другим
В отдельном пункте вы можете задать пароль для защиты вашего соединения. Тогда подключиться к вашему мобильному интернету, смогут только те, кто знает пароль. Для этого выберите пункт Пароль Wi-Fi или Пароль WLAN и задайте свой пароль",https://support.mts.ru/mts_mobilnyy_internet/razdacha-interneta/kak-razdat-internet-s-telefona
Не работает интернет,"Если не работает мобильный интернет:
1. Проверьте, что мобильный интернет включён в настройках телефона
2. Проверьте значок сети и уровень сигнала на экране телефона. Если сети нет или делений мало — сигнал слабый или пропадает в месте, где вы находитесь. Такое бывает в зданиях с толстыми стенами, лифтах или подвалах
3. В смартфонах с двумя SIM-картами разные слоты могут поддерживать разные стандарты связи. Попробуйте переставить SIM-карту в другой слот
4. Проверьте баланс. Если он отрицательный, пополните его. При задолженности вы не сможете выйти в интернет, даже если трафик из пакета ещё остался
5. Проверьте, не закончился ли пакет трафика. При необходимости подключите дополнительный пакет. Инструкции есть в статьях Как проверить остаток интернета и Как продлить интернет, если трафик закончился
6. Переставьте SIM-карту в другой телефон. Если интернет появился, проверьте настройки на своём телефоне — инструкция в статье Как настроить интернет на телефоне. Если интернет не работает, возможно, SIM-карта устарела и её нужно заменить — подробнее в статье Как заменить SIM-карту
7. Перезагрузите телефон — это часто помогает, даже если всё настроено правильно
Если ничего не помогло, запустите онлайн-диагностику в приложении Мой МТС. 

Если не работает домашний интернет, то сначала проверьте баланс в приложении Мой МТС или Личном кабинете. Если он отрицательный, пополните его.
Если не работает Wi-Fi:
1. Перезагрузите роутер — отключите его от розетки на две минуты, а затем снова подключите
2. Удалите сохранённую сеть Wi-Fi на устройстве, с которого не можете подключиться, и подключитесь к ней заново
3. Проверьте сетевой кабель. Если он не повреждён, отсоедините и вновь подсоедините его до щелчка
Если не работает интернет по кабелю:
1. Проверьте сетевой кабель. Если он не повреждён, отсоедините и вновь подсоедините его до щелчка
2. Перезагрузите роутер, компьютер или ноутбук

Если интернет не появился, напишите в чат приложения Мой МТС. Мы проведём диагностику, поможем удалённо или создадим заявку на выезд мастера.","https://support.mts.ru/mts_mobilnyy_internet/reshenie-problem-s-internetom/chto-delat-esli-ne-rabotaet-mobilnii-internet
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/kak-ustranit-nepoladki-v-rabote-domashnego-interneta/chto-delat-esli-ne-rabotaet-domashnii-internet"
Подключенные услуги,"Чтобы посмотреть подключённые услуги, вы можете воспользоваться приложением Мой МТС или Личным кабинетом. 
Мой МТС:
1. На главном экране нажмите на раздел Подключённые услуги и сервисы
2. На открывшемся экране вы увидите список платных и бесплатных услуг, а также их стоимость, если такие подключены.
3. Нажмите на название услуги, чтобы открыть её описание или отключить.

Личный кабинет:
1. Перейдите в раздел Услуги > Подключённые 
2. На открывшемся экране вы увидите список платных и бесплатных услуг, а также их стоимость, если такие подключены.
3. Для отключения справа от названия услуги нажмите Отключить

Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-proverit-podklyuchennyye-uslugi
Баланс,"Слишком широкий запрос. Возможно вы имели в виду:
Как проверить баланс мобильного телефона
Как проверить баланс домашнего интернета и ТВ
Как проверить баланс Спутникового ТВ МТС","https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-proverit-balans
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/kak-proverit-balans-v-prilozhenii-moi-mts
https://support.mts.ru/mts_stv/oplata/kak-proverit-balans-sputnikovogo-tv-mts"
Баланс номера,"Чтобы посмотреть баланс номера, вы можете воспользоваться приложением Мой МТС или Личным кабинетом. Сумма баланса будет на главной странице.
Проверить баланс также можно, набрав *100# или #100#
",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-proverit-balans
Баланс домашнего интернета,"Если номер +7 9ХХ ХХХ-ХХ-ХХ или +7 699 ХХХ-ХХ-ХХ:
1. Войдите в приложение Мой МТС по номеру +7 9ХХ ХХХ-ХХ-ХХ или +7 699 ХХХ-ХХ-ХХ, если подключены мобильная связь и услуги для дома в одном пакете 
2. Под номером телефона увидите баланс вашего счёта

Если номер 49Х XXX-XX-XX или 050 XXX-XX-XX, то вы можете воспользоваться приложением Мой МТС или Личным кабинетом.
Мой МТС:
1. Войдите в аккаунт по номеру 49Х XXX-XX-XX или 050 XXX-XX-XX, если подключены интернет и телевидение
2. Под номером телефона увидите баланс вашего счёта

Личный кабинет:
1. Войдите в аккаунт по номеру 49Х XXX-XX-XX или 050 XXX-XX-XX, если подключены интернет и телевидение
2. Баланс счёта увидите справа на главной странице

Как узнать, какой номер основной в пакете: Номер указан в пункте 2 договора, как платёжный идентификатор и логин для входа в Личный кабинет или приложение Мой МТС. Договор выдаётся при подключении услуг в бумажном виде или поступает на email, если вы подписали соглашение для получения документов в электронном виде.
",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/kak-proverit-balans-v-prilozhenii-moi-mts
Непоступление платежа на карту,"Если перевод не поступил на карту, сначала проверьте сроки — возможно, платёж ещё «в пути». Для переводов по номеру телефона деньги поступают моментально, а по номеру карты или реквизитам в другой банк — до трёх рабочих дней.
Если срок прошёл, а денег нет, возможны следующие причины:
1. Ошибка в реквизитах получателя.
 Например, неправильно указан номер телефона. 
2. На счёте получателя арест.
 Деньги поступили, но заблокированы или списались на оплату долга. 
3. По карте получателя превышен остаток на счёте.
 По некоторым виртуальным картам на счёте не может быть более 60 000 ₽. Если после перевода остаток будет больше, деньги вернутся обратно.
Если ни одна из причин не подходит, свяжитесь с поддержкой по номеру 8 800 250-05-20 или через чат в приложении МТС Банка (раздел Ещё)
",https://support.mts.ru/perevodi/reshenie-problem-s-perevodami/chto-delat-esli-perevod-ne-prishyol-poluchatelyu
puk,"PUK-код - это цифровой пароль для защиты вашей SIM-карты. Он напечатан на пластиковой основе, к которой крепилась новая SIM-карта.
Если вы не знаете PUK-код, вы можете его получить следующим образом:
1. Попробуйте найти пластиковую основу от SIM-карты, на которой он напечатан.
2. Позвоните по номеру 8 800 250-08-90, где специалисты помогут вам.
3. Обратитесь в салон экосистемы МТС, при этом вам понадобится паспорт.
Помните, что на ввод PUK-кода даётся 10 попыток. Если все попытки будут исчерпаны, SIM-карта заблокируется.
",https://support.mts.ru/mts_mobilnaya_svyaz/zamena-nomera-ili-sim-karti-i-pereoformlenie/pin-kod-i-puk-kod
pin,"PIN-код в мобильной связи -  это цифровой пароль для защиты вашей SIM-карты. Он напечатан на пластиковой основе, к которой крепилась новая SIM-карта.
Если вы не знаете PIN-код, вы можете его получить следующим образом:
1. Попробуйте найти пластиковую основу от SIM-карты, на которой он напечатан.
2. Позвоните по номеру 8 800 250-08-90, где специалисты помогут вам.
3. Обратитесь в салон экосистемы МТС, при этом вам понадобится паспорт.

Установить или изменить PIN-код для банковской карты можно несколькими способами.
В приложении МТС Банка:
1. На главной странице выберите нужную карту
2. Если вы впервые устанавливаете PIN-код, под изображением карты нажмите Установить PIN-код. Если вы хотите поменять PIN-код, под изображением карты в разделе Управление нажмите Изменить PIN-код
3. Придумайте и введите дважды четырёхзначный PIN-код 
4. Чтобы подтвердить изменение, введите код из СМС

Через голосового помощника МТС Банка:
Позвоните нам 8 800 250-05-20 с номера, который вы указали в договоре, и следуйте подсказкам системы.

Чтобы подтвердить PIN-код по пластиковой карте, вставьте карту в банкомат любого банка и проверьте баланс. После этого станет доступна бесконтактная оплата и оплата через терминал в магазинах.","https://support.mts.ru/mts_mobilnaya_svyaz/zamena-nomera-ili-sim-karti-i-pereoformlenie/pin-kod-i-puk-kod
https://support.mts.ru/debetovie_karti/pin-kod/kak-ustanovit--pin-kod"
